Name,Price,Rating,Description
"MOTOROLA Signature (PANTONE Martini Olive, 256 GB)","₹59,999",No Rating,12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Super HD Display50MP + 50MP + 50MP | 50MP Front Camera5200 mAh Battery8 Gen 5 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"MOTOROLA Signature (PANTONE Carbon, 256 GB)","₹59,999",No Rating,12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Super HD Display50MP + 50MP + 50MP | 50MP Front Camera5200 mAh Battery8 Gen 5 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"Xiaomi 14 CIVI (Hot Pink, 512 GB)","₹36,999",4.3,12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 128 GB)","₹44,999",4.6,8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 12MP Front Camera4000 mAh Battery8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"MOTOROLA Razr 60 (PANTONE Spring Bud, 256 GB)","₹49,999",4.4,8 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Full HD+ Display50MP + 13MP | 32MP Front Camera4500 mAh BatteryDimensity 7400X Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"OnePlus 15R 5G (Mint Breeze, 256 GB)","₹46,429",4.6,12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP Rear Camera7400 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"OnePlus 15R 5G (Charcoal Black, 256 GB)","₹46,313",4.6,12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP Rear Camera7400 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"OnePlus 13R 5G (Nebula Noir, 256 GB)","₹39,895",4.5,12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera6000 mAh Battery1 year manufacturer warranty for device and 1 year manufacturer warranty for in-box accessories including batteries from the date of purchase
"OnePlus Nord 5 5G (Phantom Grey, 512 GB)","₹40,011",4.5,12 GB RAM | 512 GB ROM17.35 cm (6.83 inch) Display50MP Rear Camera6800 mAh Battery1 Year Warranty
"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 256 GB)","₹49,999",4.6,8 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 12MP Front Camera4000 mAh Battery8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"OnePlus 15R 5G (Electric Violet, 256 GB)","₹47,039",4.6,12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP Rear Camera7400 mAh Battery1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase
"Samsung Galaxy S24 5G Snapdragon (Cobalt Violet, 256 GB)","₹49,999",4.6,8 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 12MP Front Camera4000 mAh Battery8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"OnePlus Nord 5 5G (Dry Ice, 256 GB)","₹35,557",4.5,12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP Rear Camera6800 mAh Battery1 Year Warranty
"Xiaomi 14 CIVI (Panda White, 512 GB)","₹59,999",4.3,12 GB RAM | 512 GB ROM16.64 cm (6.55 inch) Display50MP Rear Camera | 32MP + 32MP Dual Front Camera4700 mAh Battery8s Gen 3 Mobile Platform Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories
"IQOO Neo 10 (Titanium Chrome, 512 GB)","₹45,880",4.7,16 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ E3 Super AMOLED Display50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera7000 mAh BatteryQualcomm ProcessorDomestic Warranty 1 year for handset and 6 months for accessories
"Samsung Galaxy S24 5G Snapdragon (Amber Yellow, 256 GB)","₹49,999",4.6,8 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 12MP Front Camera4000 mAh Battery8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"IQOO Neo 10 (Titanium Chrome, 256 GB)","₹40,390",4.5,12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ E3 Super AMOLED Display50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera7000 mAh BatteryQualcomm ProcessorDomestic warranty 1 year for handset and 6 months for accessories
"IQOO Neo 10 (Inferno Red, 512 GB)","₹45,858",4.7,16 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ E3 Super AMOLED Display50MP + 50MP + 8MP | 32MP + 32MP Dual Front Camera7000 mAh BatteryQualcomm ProcessorDomestic warranty 1 year for handset and 6 months accessories
"vivo V40 Pro 5G (Ganges Blue, 256 GB)","₹44,999",4.5,8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP + 50MP | 50MP Front Camera5500 mAh BatteryDimensity 9200+ Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
"OPPO Reno14 5G (Forest Green, 256 GB)","₹40,496",4.5,12 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 256 GB)","₹49,999",4.6,8 GB RAM | 256 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 12MP Front Camera4000 mAh Battery8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories
"OnePlus 11 5G (Eternal Green, 256 GB)","₹40,938",4.5,16 GB RAM | 256 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera5000 mAh Batterydomestic warranty of 12 months on phone & 6 months on accessories
"OnePlus Nord 5 5G (Marble Sands, 256 GB)","₹36,596",4.5,12 GB RAM | 256 GB ROM17.35 cm (6.83 inch) Display50MP Rear Camera6800 mAh Battery1 Year Warranty
"Apple iPhone 14 (Midnight, 128 GB)","₹54,900",4.6,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories."
"Motorola Edge 50 Ultra 5G (Peach Fuzz, 512 GB)","₹49,999",4.3,12 GB RAM | 512 GB ROM17.02 cm (6.7 inch) Display50MP + 50MP + 64MP | 50MP Front Camera4500 mAh Battery8s Gen 3 Mobile Platform Processor1 Year on Handset and 6 Months on Accessories
"OPPO Reno14 5G (Forest Green, 256 GB)","₹40,000",4.5,8 GB RAM | 256 GB ROM16.74 cm (6.59 inch) Display50MP + 8MP + 50MP | 50MP Front Camera6000 mAh BatteryDimensity 8350 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories
"MOTOROLA Signature (PANTONE Martini Olive, 256 GB)","₹59,999",No Rating,12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Super HD Display50MP + 50MP + 50MP | 50MP Front Camera5200 mAh Battery8 Gen 5 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories
